 ,X,Y
1,270,145
2,298,155
3,332,150
4,366,243
5,310,251
6,237,260
7,215,263
8,187,251
9,134,262
10,117,234
11,83,165
12,118,335
13,101,375
14,106,406
15,188,481
16,312,420
17,351,434
18,367,445
19,370,305
20,418,278
21,481,262
22,481,203
23,443,208
24,396,228
25,381,188
26,257,222
27,267,291
28,288,408
29,385,485
30,142,388
31,176,323
32,198,146
33,117,142
34,108,159
35,387,62
36,406,121
37,246,442
38,352,340
39,440,324
40,483,309
41,312,504
42,284,210
43,144,287
44,42,278
45,269,316
46,185,414
47,48,463
